vdd,V(vout),Id(M1)
3.319999999999973e+000,7.817401e-001,2.538248e-004
3.329999999999973e+000,7.900389e-001,2.539950e-004
3.339999999999973e+000,7.983754e-001,2.541614e-004
3.349999999999973e+000,8.067468e-001,2.543243e-004
3.359999999999972e+000,8.151509e-001,2.544840e-004
3.369999999999972e+000,8.235854e-001,2.546406e-004
3.379999999999972e+000,8.320486e-001,2.547943e-004
3.389999999999972e+000,8.405389e-001,2.549454e-004
3.399999999999972e+000,8.490547e-001,2.550938e-004
3.409999999999971e+000,8.575947e-001,2.552399e-004
3.419999999999971e+000,8.661577e-001,2.553836e-004
3.429999999999971e+000,8.747425e-001,2.555251e-004
3.439999999999971e+000,8.833482e-001,2.556646e-004
3.449999999999970e+000,8.919737e-001,2.558021e-004
3.459999999999970e+000,9.006182e-001,2.559377e-004
3.469999999999970e+000,9.092809e-001,2.560714e-004
3.479999999999970e+000,9.179610e-001,2.562034e-004
3.489999999999970e+000,9.266579e-001,2.563338e-004
3.499999999999969e+000,9.353709e-001,2.564625e-004
3.509999999999969e+000,9.440994e-001,2.565896e-004
3.519999999999969e+000,9.528428e-001,2.567153e-004
3.529999999999969e+000,9.616006e-001,2.568396e-004
3.539999999999969e+000,9.703723e-001,2.569624e-004
3.549999999999968e+000,9.791574e-001,2.570839e-004
3.559999999999968e+000,9.879556e-001,2.572041e-004
3.569999999999968e+000,9.967663e-001,2.573230e-004
3.579999999999968e+000,1.005589e+000,2.574408e-004
3.589999999999967e+000,1.014424e+000,2.575573e-004
3.599999999999967e+000,1.023270e+000,2.576727e-004
3.609999999999967e+000,1.032127e+000,2.577870e-004
3.619999999999967e+000,1.040995e+000,2.579002e-004
3.629999999999967e+000,1.049874e+000,2.580123e-004
3.639999999999966e+000,1.058763e+000,2.581235e-004
3.649999999999966e+000,1.067661e+000,2.582336e-004
3.659999999999966e+000,1.076570e+000,2.583428e-004
3.669999999999966e+000,1.085487e+000,2.584510e-004
3.679999999999966e+000,1.094414e+000,2.585583e-004
3.689999999999965e+000,1.103350e+000,2.586647e-004
3.699999999999965e+000,1.112295e+000,2.587703e-004
3.709999999999965e+000,1.121248e+000,2.588750e-004
3.719999999999965e+000,1.130209e+000,2.589789e-004
3.729999999999965e+000,1.139179e+000,2.590819e-004
3.739999999999964e+000,1.148156e+000,2.591842e-004
3.749999999999964e+000,1.157141e+000,2.592856e-004
3.759999999999964e+000,1.166134e+000,2.593864e-004
3.769999999999964e+000,1.175134e+000,2.594863e-004
3.779999999999963e+000,1.184142e+000,2.595856e-004
3.789999999999963e+000,1.193156e+000,2.596842e-004
3.799999999999963e+000,1.202178e+000,2.597820e-004
3.809999999999963e+000,1.211206e+000,2.598792e-004
3.819999999999963e+000,1.220241e+000,2.599757e-004
3.829999999999962e+000,1.229283e+000,2.600715e-004
3.839999999999962e+000,1.238331e+000,2.601667e-004
3.849999999999962e+000,1.247385e+000,2.602613e-004
3.859999999999962e+000,1.256445e+000,2.603553e-004
3.869999999999962e+000,1.265512e+000,2.604487e-004
3.879999999999961e+000,1.274584e+000,2.605414e-004
3.889999999999961e+000,1.283662e+000,2.606336e-004
3.899999999999961e+000,1.292746e+000,2.607252e-004
3.909999999999961e+000,1.301836e+000,2.608163e-004
3.919999999999960e+000,1.310930e+000,2.609068e-004
3.929999999999960e+000,1.320031e+000,2.609968e-004
3.939999999999960e+000,1.329136e+000,2.610862e-004
3.949999999999960e+000,1.338247e+000,2.611751e-004
3.959999999999960e+000,1.347363e+000,2.612635e-004
3.969999999999959e+000,1.356484e+000,2.613514e-004
3.979999999999959e+000,1.365610e+000,2.614388e-004
3.989999999999959e+000,1.374741e+000,2.615257e-004
3.999999999999959e+000,1.383877e+000,2.616121e-004
4.009999999999959e+000,1.393018e+000,2.616981e-004
4.019999999999959e+000,1.402163e+000,2.617836e-004
4.029999999999959e+000,1.411312e+000,2.618686e-004
4.039999999999958e+000,1.420466e+000,2.619532e-004
4.049999999999958e+000,1.429625e+000,2.620374e-004
4.059999999999958e+000,1.438788e+000,2.621211e-004
4.069999999999958e+000,1.447955e+000,2.622044e-004
4.079999999999957e+000,1.457127e+000,2.622872e-004
4.089999999999957e+000,1.466302e+000,2.623697e-004
4.099999999999957e+000,1.475482e+000,2.624517e-004
4.109999999999957e+000,1.484666e+000,2.625333e-004
4.119999999999957e+000,1.493853e+000,2.626145e-004
4.129999999999956e+000,1.503045e+000,2.626954e-004
4.139999999999956e+000,1.512241e+000,2.627758e-004
4.149999999999956e+000,1.521440e+000,2.628559e-004
4.159999999999956e+000,1.530643e+000,2.629356e-004
4.169999999999956e+000,1.539850e+000,2.630149e-004
4.179999999999955e+000,1.549061e+000,2.630938e-004
4.189999999999955e+000,1.558275e+000,2.631724e-004
4.199999999999955e+000,1.567492e+000,2.632507e-004
4.209999999999955e+000,1.576714e+000,2.633285e-004
4.219999999999955e+000,1.585938e+000,2.634061e-004
4.229999999999954e+000,1.595166e+000,2.634833e-004
4.239999999999954e+000,1.604398e+000,2.635601e-004
4.249999999999954e+000,1.613633e+000,2.636366e-004
4.259999999999954e+000,1.622871e+000,2.637128e-004
4.269999999999953e+000,1.632112e+000,2.637887e-004
4.279999999999953e+000,1.641357e+000,2.638642e-004
4.289999999999953e+000,1.650604e+000,2.639395e-004
4.299999999999953e+000,1.659855e+000,2.640144e-004
