vds	Id(M1)
Step Information: Vgs=0  (Run: 1/11)
1.160000000000001e+000	2.414691e-012
1.170000000000001e+000	2.434700e-012
1.180000000000001e+000	2.454709e-012
1.190000000000001e+000	2.474717e-012
1.200000000000001e+000	2.494726e-012
1.210000000000001e+000	2.514735e-012
1.220000000000001e+000	2.534743e-012
1.230000000000001e+000	2.554752e-012
1.240000000000001e+000	2.574761e-012
1.250000000000001e+000	2.594769e-012
1.260000000000001e+000	2.614778e-012
1.270000000000001e+000	2.634786e-012
1.280000000000001e+000	2.654795e-012
1.290000000000001e+000	2.674804e-012
1.300000000000001e+000	2.694812e-012
1.310000000000001e+000	2.714821e-012
1.320000000000001e+000	2.734830e-012
1.330000000000001e+000	2.754838e-012
1.340000000000001e+000	2.774847e-012
1.350000000000001e+000	2.794855e-012
1.360000000000001e+000	2.814864e-012
1.370000000000001e+000	2.834872e-012
1.380000000000001e+000	2.854881e-012
1.390000000000001e+000	2.874889e-012
1.400000000000001e+000	2.894898e-012
1.410000000000001e+000	2.914906e-012
1.420000000000001e+000	2.934915e-012
1.430000000000001e+000	2.954923e-012
1.440000000000001e+000	2.974932e-012
1.450000000000001e+000	2.994940e-012
1.460000000000001e+000	3.014949e-012
1.470000000000001e+000	3.034957e-012
1.480000000000001e+000	3.054966e-012
1.490000000000001e+000	3.074974e-012
1.500000000000001e+000	3.094983e-012
1.510000000000001e+000	3.114991e-012
1.520000000000001e+000	3.135000e-012
1.530000000000001e+000	3.155008e-012
1.540000000000001e+000	3.175017e-012
1.550000000000001e+000	3.195025e-012
1.560000000000001e+000	3.215033e-012
1.570000000000001e+000	3.235042e-012
1.580000000000001e+000	3.255051e-012
1.590000000000001e+000	3.275059e-012
1.600000000000001e+000	3.295067e-012
1.610000000000001e+000	3.315076e-012
1.620000000000001e+000	3.335084e-012
1.630000000000001e+000	3.355092e-012
1.640000000000001e+000	3.375101e-012
1.650000000000001e+000	3.395109e-012
1.660000000000001e+000	3.415118e-012
1.670000000000001e+000	3.435126e-012
1.680000000000001e+000	3.455135e-012
1.690000000000001e+000	3.475143e-012
1.700000000000001e+000	3.495151e-012
1.710000000000001e+000	3.515160e-012
1.720000000000001e+000	3.535168e-012
1.730000000000001e+000	3.555176e-012
1.740000000000001e+000	3.575185e-012
1.750000000000001e+000	3.595193e-012
